Runtime,Message Size(number of doubles)
0.0001146793365479,1
0.0002105236053467,501
0.0003609657287598,1001
0.0004448890686035,1501
0.0006208419799805,2001
0.0009133815765381,2501
0.0010418891906738,3001
0.0011644363403320,3501
0.0014095306396484,4001
0.0015382766723633,4501
0.0017261505126953,5001
0.0019245147705078,5501
0.0020594596862793,6001
0.0022525787353516,6501
0.0024716854095459,7001
0.0026164054870605,7501
0.0027222633361816,8001
0.0032594203948975,8501
0.0028347969055176,9001
0.0029363632202148,9501
